               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12031,            0.019148,                   0,            0.010011,             0.27273,           0.0048855,           0.0010102,              0.1111,            0.014127,                   0,              0.0013,              0.0013,              0.0883
                   1,             0.10592,            0.023979,                   0,            0.018624,             0.18182,            0.011589,           0.0024421,             0.10132,            0.013959,                   0,           0.0026866,           0.0026866,            0.075687
                   2,            0.093958,            0.021592,                   0,             0.11671,             0.18182,            0.046968,            0.011522,            0.086359,            0.014523,                   0,           0.0040594,           0.0040594,            0.063059
                   3,            0.084236,             0.02854,                   0,             0.13941,             0.54545,             0.11822,            0.023419,            0.075941,            0.014425,                   0,           0.0054183,           0.0054183,            0.050418
                   4,             0.07777,            0.025123,                   0,             0.17137,             0.45134,             0.11711,            0.026019,             0.07439,             0.01432,                   0,           0.0067634,           0.0067634,            0.037763
                   5,             0.07936,            0.025677,                   0,             0.24048,             0.63636,             0.17851,            0.062377,            0.078978,            0.012647,                   0,           0.0080946,           0.0080946,            0.025095
                   6,            0.075303,            0.021951,                   0,             0.19942,             0.27273,            0.081492,            0.023555,            0.071775,            0.012531,                   0,           0.0094119,           0.0094119,            0.012412
                   7,            0.075024,            0.020949,                   0,            0.028836,             0.63636,            0.027519,           0.0064393,            0.080266,            0.012131,                   0,           0.0096535,           0.0096535,           0.0096535
                   8,            0.069718,            0.023524,                   0,             0.35647,             0.45455,             0.26215,            0.031207,            0.077578,            0.011126,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.066655,             0.02082,                   0,             0.21943,             0.35809,             0.13484,            0.029022,            0.061397,            0.011721,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.062725,            0.020795,                   0,             0.20225,             0.45455,              0.1741,            0.037679,            0.055982,            0.011058,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.067477,            0.020287,                   0,              0.1709,             0.54545,             0.14465,            0.028426,            0.061934,            0.010386,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.060796,            0.023188,                   0,             0.22553,             0.45455,             0.17157,            0.048283,            0.056102,           0.0096926,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.054583,            0.023981,                   0,               0.213,             0.45455,             0.18061,            0.032572,            0.056617,           0.0098768,                   0,            0.009406,            0.009406,            0.009406
                  14,             0.05721,            0.021589,                   0,             0.54281,             0.54545,              0.4181,             0.12828,            0.053224,            0.010187,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.059509,            0.020485,                   0,             0.24948,             0.54545,             0.22694,            0.043684,            0.063515,           0.0086412,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.064989,            0.019064,                   0,             0.49906,             0.36244,              0.3744,            0.071722,            0.051612,           0.0090562,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.049178,            0.021433,                   0,             0.53311,             0.63636,             0.61989,             0.22555,            0.045784,           0.0091048,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.048392,            0.020733,                   0,             0.49893,             0.54545,             0.55819,             0.19553,            0.049476,            0.008706,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.053151,            0.018809,                   0,             0.45386,             0.45455,             0.49831,             0.12835,            0.052306,           0.0089945,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.050794,             0.01796,                   0,             0.77406,             0.63636,             0.67233,             0.24191,            0.052814,           0.0078235,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.048721,            0.017194,                   0,             0.66262,             0.54545,             0.59519,             0.18239,             0.04709,            0.008079,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.049274,            0.017927,                   0,             0.77542,             0.63636,             0.70735,             0.30024,            0.046074,           0.0080632,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.047989,            0.019464,                   0,             0.59979,             0.54545,             0.49226,              0.1503,            0.049751,           0.0080154,                   0,            0.008911,            0.008911,            0.008911
